EMPID,NAME,ADDR,CITY,PHNO,EMAIL,DOB
E1001,RAMESH GUPTA,"SECTOR 7,Rohini",Gurgaon,9999002727,RK@YAHOO.CO.IN,01-09-1990
E1002,Sandeep Sharma,"SECTOR 2,PALAM",GURGAON,9567890010,SAM1@YAHOO.COM,15-09-1995
E1003,Rajesh Sharma,"Sector 11,Dwarka",Delhi,9999001001,RSharma56@gmail.com,16-03-2001
E1004,Yogeshwar Sharma,"Sector 11,Dwarka",Delhi,8899001001,YSharma@gmail.com,25-09-1989
E1005,Manoj Kumar,"B320,Janakpuri",Delhi,9999912399,mKumar@gmail.com,01-07-1985
E1006,Rohit Gupta,"A32/620 Main Road,Sector 56",Noida,8899001123,rgupta@gmail.com,31-03-1992
E1007,Kapil Sharma,"Jay Maa Apartments Flat 32,Sector 72",Gurgaon,9999001099,kSharma@gmail.com,28-09-1987
E1008,Archna Sharma,"5C Karanpur,NP Road",Dehradun,9899249700,ASharma@gmail.com,10-05-1985
E1009,Ranjeeta Goyal,"Flat No 6A,Rajpur Road",Dehradun,9999002700,rgoyal@gmail.com,31-12-1989
E1010,Komal Singh,"Sector 64,Old Gurgaon Road",Gurgaon,7285912349,ksing@gmail.com,31-03-1990
E1011,AMIT KAPOOR,"B2/45 DDA FLATS,JANAKPURI",DELHI,989970701,RK2@GMAIL.COM,01-01-1992
E1012,MONIKA ARORA,"B1/45,JANAKPURI",DELHI,999999234,MA@GMAIL.COM,01-01-1982
E1013,ROHAN KUMAR,"B305,RAJOURI GARDEN",DELHI,9811098110,RK@GMAIL.COM,10-10-1998
E1014,RAJAT KUMAR,"HNO-B205,SECTOR 62",NOIDA,9811098115,RAJATK@GMAIL.COM,10-10-1998
E1015,ABHISHEK SHARMA,"C2-101,JANAKPURI",DELHI,9898989800,AB@GMAIL.COM,11-10-1982
E1019,RAJAT KAPOOR,"B501/1 POCKET 1,JANAKPURI",DELHI,9899256570,RJT@YAHOO.CO.IN,11-10-1983
E1020,Rohan Kumar,"B-256,RAJOURIGARDEN",DELHI,9898999987,RKUMAR@GMAIL.COM,10-10-1989
E1021,Lalit Sharma,"C2-401,Janak Puri",DELHI,9898999989,ls@GMAIL.COM,12-10-1989
E1022,Monika Bajaj,"DLF,Phase 5",GURGAON,9898101089,MBAJAJ@GMAIL.COM,12-10-1992
E1023,Devender Kapoor,"E102/3 Pocket 1 Sector 3,Dwarka",Delhi,9899346907,dk@yahoo.co.in,10-10-1982
E1024,Ravinder Kumar,"B302-Jay Maa Apt,Dwarka",Delhi,9899768756,rk@yahoo.com,10-10-1985
E1025,GAURAV GUPTA,"D41-Jay Maa Apt,Dwarka",Delhi,9899768788,gk@yahoo.co.in,10-12-1987
E1026,David,"M121/4,Vatika Tower",Gurgaon,9999999988,dd@gmail.com,17-12-1987
